x	y	label
6410.691	2056.978	1
6040.899	2324.707	1
6396.246	2357.4782	1
4605.066	2351.3336	1
4067.712	2356.0152	0
4311.2547	2358.9412	1
6053.3217	2609.1142	1
6418.4913	2642.4706	1
4063.6674	2641.0076	0
4904.0775	2640.1298	0
3754.8333	2641.8854	0
3486.1563	2642.7632	0
5172.7545	2637.4964	0
4616.0442	2642.7632	1
4343.6115	2645.6892	0
5507.5896	2641.8854	1
5196.7332	2891.4732	0
6036.2766	2891.4732	1
2860.11	2916.0516	0
5771.6442	2914.296	1
5496.6114	2920.4406	1
6397.4016	2928.0482	1
2564.8542	2933.315	0
4900.0329	2925.1222	0
3205.9233	2934.778	0
4606.5105	2929.8038	0
3463.3332	2931.852	0
3769.8561	2931.852	0
4035.933	2937.4114	0
4332.3444	2934.4854	0
6038.5878	3182.3176	1
2836.7091	3191.0956	0
5525.7903	3203.6774	0
5185.1772	3213.3332	0
2576.4102	3212.748	0
3206.79	3226.5002	0
3758.0112	3220.063	0
3481.5339	3218.8926	0
2318.7114	3218.6	0
4901.4774	3217.7222	1
4054.4226	3221.2334	0
5766.1551	3219.7704	1
4620.6666	3222.989	0
6413.0022	3230.5966	1
6042.6324	3480.477	1
2858.3766	3485.7438	0
5506.7229	3497.4478	0
4886.7435	3496.8626	1
5771.9331	3498.3256	1
2323.0449	3498.6182	0
5197.0221	3503.885	0
6410.9799	3512.9556	1
1421.6769	3508.5666	0
4622.9778	3505.348	0
3209.9679	3516.1742	0
2563.4097	3507.9814	0
3758.0112	3508.8592	0
1717.2216	3512.0778	0
1979.8317	3509.1518	0
3474.8892	3512.9556	0
4328.2998	3513.2482	0
6658.8561	3513.2482	1
4037.0886	3514.4186	0
6048.1215	3778.929	1
2840.4648	3793.559	0
1713.177	3800.2888	0
6674.7456	3799.411	1
6401.4462	3807.0186	1
5765.5773	3803.8	0
5526.0792	3804.9704	0
1998.8991	3811.7002	0
2317.8447	3809.652	0
2578.4325	3812.578	0
5197.5999	3821.9412	0
4620.6666	3817.8448	0
3205.3455	3823.9894	0
4335.5223	3818.7226	0
4031.8884	3822.2338	0
4887.3213	3823.4042	0
3767.5449	3826.6228	0
3487.3119	3831.0118	0
6054.7662	4052.8026	0
2849.1318	4064.7992	0
5753.7324	4085.5738	0
1987.3431	4089.9628	0
2329.4007	4089.3776	0
4904.6553	4088.4998	0
1721.5551	4088.7924	0
4603.3326	4089.6702	1
2575.2546	4093.1814	0
3209.9679	4104.0076	0
4332.9222	4095.8148	0
5515.9677	4094.3518	0
3468.5334	4099.0334	0
6403.1796	4102.5446	1
4057.6005	4101.9594	1
6681.9681	4110.1522	1
6044.3658	4353.5954	0
2836.998	4357.3992	0
5773.0887	4369.1032	0
5494.3002	4371.7366	0
5199.9111	4377.0034	0
2318.7114	4376.7108	1
2586.5217	4374.0774	0
1721.5551	4377.0034	0
6410.4021	4388.4148	1
6677.6346	4382.2702	1
4626.4446	4382.5628	0
4912.7445	4377.8812	1
1994.2767	4382.5628	1
3754.5444	4383.148	0
3487.023	4384.3184	0
3199.2786	4393.0964	0
4053.267	4385.7814	1
4327.1442	4388.1222	0
6045.8103	4651.7548	1
2855.7765	4661.9958	0
4620.0888	4670.7738	0
5754.0213	4674.8702	1
1997.7435	4677.7962	1
4896.5661	4678.3814	1
1715.4882	4680.137	0
2316.1113	4678.9666	0
6407.802	4683.6482	1
2560.5207	4683.063	0
5192.9775	4685.4038	0
5517.1233	4683.3556	0
3759.1668	4690.0854	0
4325.9886	4689.5002	0
3207.0789	4698.5708	0
3476.9115	4693.8892	0
4040.8443	4696.8152	1
6652.7892	4701.2042	1
6037.7211	4937.0398	1
2850.2874	4944.0622	0
4887.0324	4961.9108	0
5766.7329	4957.2292	1
2582.1882	4965.422	0
4622.6889	4966.885	0
5514.8121	4965.7146	1
2303.3997	4968.9332	1
2012.1885	4969.811	1
1697.2875	4975.3704	0
5193.8442	4975.0778	0
3751.9443	4977.126	0
4047.2001	4978.2964	1
4329.1665	4978.8816	0
6405.7797	4980.9298	1
3487.8897	4979.1742	0
3204.4788	4989.7078	0
6655.1004	4982.978	1
6040.6101	5221.447	1
2312.9334	5244.855	1
2840.4648	5254.5108	0
5518.8567	5252.7552	1
5771.6442	5253.3404	1
4636.845	5254.8034	0
4883.2767	5255.3886	0
5184.3105	5261.5332	0
3210.5457	5267.9704	0
6405.7797	5263.874	1
2574.099	5258.3146	1
3752.811	5259.7776	0
3477.2004	5263.874	0
4321.6551	5262.411	0
6671.8566	5262.1184	1
4050.9558	5264.7518	0
1990.521	5274.9928	0
6051.8772	5530.4326	1
2843.3538	5532.1882	1
5763.8439	5554.7184	1
5509.0341	5555.8888	1
2327.9562	5558.8148	1
5203.089	5562.326	1
4601.0214	5563.789	0
6406.6464	5566.715	1
3770.7228	5562.6186	0
1984.743	5564.6668	0
4337.8335	5565.8372	0
3463.0443	5569.9336	0
3210.5457	5575.7856	0
6681.6792	5571.3966	1
4031.5995	5574.9078	0
4900.0329	5577.5412	1
2590.5663	5591.8786	0
6047.2548	5817.1806	1
2853.4653	5827.4216	0
2574.3879	5841.4664	0
2324.2005	5842.9294	0
5207.7114	5844.3924	1
4633.0893	5843.222	0
5512.7898	5844.0998	1
4881.2544	5846.7332	1
3484.7118	5848.7814	0
6398.5572	5853.1704	1
3748.4775	5850.8296	0
4323.0996	5851.7074	0
5756.0436	5852	1
4062.5118	5855.5112	1
3213.1458	5861.6558	1
6695.2575	5857.852	1
6925.5108	5873.0672	1
6054.4773	6116.2178	1
2847.1095	6129.6774	0
4897.1439	6128.507	1
4638.0006	6135.822	1
5207.7114	6137.8702	1
6402.024	6144.0148	1
5759.5104	6140.5036	1
3225.5685	6149.5742	0
5517.99	6141.0888	1
2579.5881	6144.0148	1
6666.0786	6144.0148	1
4349.1006	6148.6964	1
3775.0563	6149.2816	1
3471.4224	6151.6224	1
4020.3324	6153.378	1
2312.3556	6153.0854	1
6049.2771	6406.7696	1
2868.777	6412.0364	1
6407.802	6443.9298	1
5766.1551	6429.5924	1
5515.101	6433.6888	1
2332.0008	6436.9074	1
2569.4766	6439.8334	1
5201.6445	6440.7112	1
4917.3669	6442.7594	1
3755.7	6444.515	1
4343.9004	6444.2224	1
4617.7776	6446.2706	1
4049.8002	6446.2706	1
6687.1683	6445.6854	1
3213.7236	6457.0968	1
6959.8899	6457.682	1
3487.6008	6460.608	1
5204.2446	6709.6106	1
6051.8772	6692.3472	1
2856.9321	6694.9806	1
5768.7552	6718.096	1
2574.3879	6724.5332	1
4360.9455	6723.948	1
4627.3113	6723.6554	1
4908.411	6723.6554	1
5528.9682	6726.2888	1
3759.4557	6725.9962	1
4038.2442	6728.0444	1
3493.0899	6730.3852	1
6676.479	6735.0668	1
3209.679	6742.3818	1
6952.3785	6737.7002	1
6403.4685	6750.282	1
6046.0992	7000.7476	1
3758.8779	7020.6444	1
5790.7116	7022.1074	1
6417.6246	7030.3002	1
5506.434	7029.1298	1
3517.0686	7030.3002	1
5200.7778	7031.4706	1
4905.522	7033.2262	1
6949.7784	7034.6892	1
4343.3226	7035.567	1
4044.6	7038.7856	1
4633.6671	7039.3708	1
6700.1688	7039.3708	1
